"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21, 2015","17,946.68","18,027.63","18,188.81","17,890.36","495.84M","-0.38%"
"Jun 14, 2015","18,015.95","17,890.76","18,174.73","17,698.42","614.60M","0.65%"
"Jun 07, 2015","17,898.84","17,849.46","18,109.77","17,714.97","447.09M","0.28%"
"May 31, 2015","17,849.46","18,017.82","18,168.09","17,822.90","418.92M","-0.90%"
"May 24, 2015","18,010.68","18,229.75","18,229.75","17,967.74","413.16M","-1.21%"
"May 17, 2015","18,232.02","18,267.25","18,351.36","18,217.14","409.62M","-0.22%"
"May 10, 2015","18,272.56","18,187.78","18,272.72","17,924.80","460.31M","0.45%"
"May 03, 2015","18,191.11","18,026.02","18,205.23","17,733.12","457.67M","0.93%"
"Apr 26, 2015","18,024.06","18,097.89","18,175.56","17,774.89","569.03M","-0.31%"
"Apr 19, 2015","18,080.14","17,841.18","18,133.03","17,841.18","508.97M","1.42%"
"Apr 12, 2015","17,826.30","18,052.32","18,169.26","17,748.53","544.91M","-1.28%"
